,match_api_id,season,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,winner_id_label
2902,2030364,2015/2016,2016-01-23 00:00:00,8558,10205,2,2,70.0,76.0,76.0,75.0,70.0,64.0,77.0,75.0,75.0,70.0,78.0,78.0,79.0,81.0,77.0,77.0,79.0,80.0,81.0,78.0,79.0,80.0,2.9,3.2,2.55,2.85,3.0,2.6,2.75,3.3,2.4,2.8,3.1,2.5,2.98,3.24,2.66,2.8,3.1,2.6,3.0,3.25,2.6,0
2903,2030365,2015/2016,2016-01-24 00:00:00,8603,8633,1,1,77.0,72.0,71.0,72.0,76.0,71.0,75.0,73.0,69.0,74.0,79.0,81.0,81.0,82.0,84.0,83.0,87.0,87.0,84.0,87.0,86.0,93.0,9.5,5.75,1.3,9.75,5.5,1.3,10.0,5.2,1.27,9.0,5.5,1.3,11.08,6.16,1.3,10.0,4.8,1.33,10.5,6.0,1.3,0
2905,2030367,2015/2016,2016-01-24 00:00:00,9783,10267,1,1,76.0,74.0,75.0,77.0,75.0,75.0,72.0,76.0,75.0,73.0,78.0,78.0,76.0,82.0,81.0,80.0,77.0,60.0,75.0,82.0,80.0,81.0,2.25,3.3,3.3,2.25,3.3,3.3,2.4,3.3,2.75,2.15,3.25,3.4,2.19,3.44,3.66,2.3,3.2,3.2,2.2,3.4,3.5,0
2906,2030368,2015/2016,2016-01-31 00:00:00,8306,9910,2,1,75.0,74.0,70.0,72.0,69.0,70.0,73.0,72.0,69.0,77.0,71.0,76.0,76.0,78.0,77.0,71.0,77.0,76.0,77.0,80.0,71.0,78.0,2.38,3.3,3.1,2.45,3.2,2.85,2.5,3.3,2.65,2.4,3.25,3.0,2.48,3.39,3.1,2.5,3.2,2.9,2.45,3.3,3.13,1
2907,2030369,2015/2016,2016-01-31 00:00:00,8302,8581,3,1,76.0,77.0,79.0,74.0,81.0,71.0,79.0,79.0,81.0,79.0,79.0,73.0,74.0,74.0,75.0,75.0,75.0,75.0,72.0,75.0,78.0,77.0,1.33,5.0,10.0,1.36,4.75,9.25,1.33,5.0,8.0,1.33,5.0,9.5,1.37,5.28,10.03,1.33,5.0,9.0,1.33,5.25,11.0,1
2908,2030370,2015/2016,2016-01-30 00:00:00,8634,9906,2,1,83.0,84.0,85.0,83.0,84.0,85.0,86.0,88.0,94.0,90.0,90.0,82.0,81.0,79.0,86.0,82.0,79.0,76.0,81.0,83.0,78.0,84.0,1.5,4.2,7.0,1.53,4.0,7.0,1.6,3.9,5.0,1.48,4.2,6.5,1.52,4.48,7.23,1.53,3.8,7.0,1.5,4.4,7.0,1
2909,2030371,2015/2016,2016-01-30 00:00:00,8372,9864,1,2,71.0,73.0,72.0,73.0,70.0,72.0,71.0,74.0,74.0,71.0,72.0,79.0,75.0,73.0,74.0,74.0,71.0,76.0,77.0,80.0,75.0,72.0,2.38,3.25,3.0,2.4,3.2,2.95,2.6,3.2,2.6,2.4,3.1,3.1,2.45,3.31,3.23,2.5,3.2,2.9,2.45,3.3,3.13,-1
2910,2030372,2015/2016,2016-01-30 00:00:00,8305,8315,0,1,77.0,76.0,74.0,73.0,74.0,76.0,74.0,78.0,76.0,76.0,71.0,79.0,80.0,79.0,77.0,79.0,80.0,80.0,76.0,72.0,73.0,82.0,3.4,3.3,2.2,3.4,3.3,2.25,2.9,3.3,2.3,3.4,3.25,2.15,3.5,3.41,2.27,3.2,3.2,2.3,3.4,3.4,2.25,-1
2911,2030373,2015/2016,2016-01-30 00:00:00,10205,7878,1,0,78.0,79.0,81.0,80.0,77.0,79.0,80.0,81.0,78.0,80.0,79.0,77.0,71.0,74.0,74.0,73.0,76.0,75.0,70.0,73.0,73.0,75.0,1.44,4.5,7.5,1.45,4.2,7.0,1.4,4.5,7.2,1.5,4.0,7.0,1.51,4.35,7.83,1.5,4.0,7.0,1.5,4.33,7.5,1
2912,2030374,2015/2016,2016-01-31 00:00:00,8633,8558,6,0,82.0,82.0,87.0,82.0,83.0,87.0,87.0,87.0,84.0,86.0,93.0,70.0,76.0,75.0,76.0,70.0,76.0,77.0,74.0,64.0,75.0,66.0,1.1,11.0,21.0,1.11,10.0,21.0,1.1,8.0,20.0,1.11,10.0,23.0,1.11,12.22,26.45,1.1,9.0,26.0,1.09,12.0,31.0,1
